automation-and-scheduling	-	-	hook,manus
backlink-analysis	-	-	manus,mcp
builtin-llm-models	-	https://example.com/pic.jpg"	claude,gemini,manus
clean-room-source-audit	-	-	-
content-gap-analysis	-	-	-
data-backup-restoration	-	https://help.manus.im/en/articles/16147831-service-change-overview-what-s-happening-and-am-i-affected,https://help.manus.im/en/articles/16147892-service-change-overview-how-to-back-up-your-data,https://help.manus.im/en/articles/16147895-service-change-overview-how-to-restore-your-data,https://help.manus.im/en/articles/16147914-service-change-overview-welcome-back-bonus-for-affected-users,https://help.manus.im/en/collections/19704025-data-back-up-and-restoration,https://manus.im/backup,https://manus.im/blog/a-note-to-our-users	manus
delegate-and-debate	-	-	-
excel-generator	-	https://example.com"	-
finance-pro-playbooks	-	-	mcp
game-dev	-	-	gemini,manus
github-gem-seeker	-	https://github.com/yt-dlp/yt-dlp	-
gws-best-practices	-	https://docs.google.com/...,https://docs.google.com/document/d/{id}/edit`	-
imagegen	-	-	manus
integin-code-review	-	-	-
integin-debugging-loop	-	-	-
integin-evidence-guard	-	-	-
integin-primary-research	-	-	-
integin-prototype	-	-	-
integin-requirements-alignment	-	-	-
integin-review-governance	-	-	-
integin-tdd	-	-	-
integin-to-spec	-	-	-
integin-to-tickets	-	-	-
integin-wayfinder	-	-	-
internet-skill-finder	-	-	claude,plugin
listicle-blog-writer	-	-	-
manus-api	-	https://api.manus.ai`	hook,manus
manus-config	-	https://mcp.context7.com/mcp",https://mcp.context7.com/mcp"}}},https://new.example.com/mcp"	manus,mcp
manus-pptx	-	https://example.com/report"><u>annual	manus
music-prompter	-	-	-
persistent-computing	-	https://manus.im/desktop	hook,manus,mcp
planning-with-files	"3.10.0"	-	claude,codex,cursor,gemini,hook,manus,opencode,plugin
read-special-images	-	-	-
seo-audit	-	-	manus
seo-competitor-analysis-will	-	-	manus
skill-creator	-	-	manus
tts-prompter	-	https://policies.google.com/terms/generative-ai/use-policy	-
typst-pdf-maker	-	-	manus
webdev-custom-dockerfile	-	https://deb.nodesource.com/setup_22.x	manus
webdev-data-api	-	-	manus
webdev-file-storage	-	-	manus
webdev-image-generation	-	https://example.com/original.jpg"	manus
webdev-llm-integration	-	-	claude,gemini,manus
webdev-manus-oauth	-	http://localhost,https://${process.env.APP_SUBDOMAIN}.example.com/verify`,https://${projectName}.manus.space/callback`,https://myapp-${prefix}.manus.space`,https://myapp.manus.space",https://myapp.manus.space/api/oauth/callback"	manus
webdev-maps-integration	-	-	manus
webdev-owner-notifications	-	-	hook,manus
webdev-periodic-updates	-	-	manus
webdev-readme-fullstack	-	https://fonts.googleapis.com",https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap",https://fonts.gstatic.com"	hook,manus,plugin
webdev-readme-mobile-backend	-	https://example.com/original.jpg",https://storage.example.com/audio/recording.mp3"	claude,cursor,gemini,hook,manus
webdev-readme-mobile	"1.0.0",	https://developer.apple.com/sf-symbols/,https://icons.expo.fyi,https://pixabay.com/sound-effects/	hook,manus,plugin
webdev-readme-static	-	http://localhost:${port}/,https://fonts.googleapis.com",https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap",https://fonts.gstatic.com"	cursor,hook,manus,plugin
webdev-ssr-conversion	-	http://localhost:4101,https://example.com	hook,manus,plugin
webdev-voice-transcription	-	https://storage.example.com/audio/recording.mp3"	manus
website-traffic-checker	-	-	manus,mcp
